,MODEL_NAME,meta|index,BUCKET,DETAIL,VARIABLE,DECOMPOSED_VOLUME
0,Test 1,0,BASE,PRICE,var|Log|price,45.69669387110785
1,Test 1,0,BASE,DISTRIBUTION,var|Log|nupcs,3958.8116390765495
2,Test 1,0,BASE,TREND,var|Unit|wk,-0.9615294462191349
3,Test 1,0,INC,DISPLAY,var|Unit|display,0.0
4,Test 1,0,INC,FEATURE,var|Unit|feature,1599.0025653526873
5,Test 1,0,BASE,UNEXPLAINED,resid,-62.1795286515924
6,Test 1,0,BASE,REFERENCE,small_base,4946.072130797459
7,Test 1,1,BASE,PRICE,var|Log|price,1162.6144895867224
8,Test 1,1,BASE,DISTRIBUTION,var|Log|nupcs,-2099.144493804602
9,Test 1,1,BASE,TREND,var|Unit|wk,-1.3717609263218749
10,Test 1,1,INC,DISPLAY,var|Unit|display,0.0
11,Test 1,1,INC,FEATURE,var|Unit|feature,1490.4788268073487
12,Test 1,1,BASE,UNEXPLAINED,resid,-74.77910946060462
13,Test 1,1,BASE,REFERENCE,small_base,4946.072130797461
14,Test 1,2,BASE,PRICE,var|Log|price,11998.094810912551
15,Test 1,2,BASE,DISTRIBUTION,var|Log|nupcs,4867.02462158904
16,Test 1,2,BASE,TREND,var|Unit|wk,-5.962287535976361
17,Test 1,2,INC,DISPLAY,var|Unit|display,0.0
18,Test 1,2,INC,FEATURE,var|Unit|feature,0.0
19,Test 1,2,BASE,UNEXPLAINED,resid,-157.11022476308588
20,Test 1,2,BASE,REFERENCE,small_base,4946.072130797457
21,Test 1,3,BASE,PRICE,var|Log|price,995.0762148205802
22,Test 1,3,BASE,DISTRIBUTION,var|Log|nupcs,956.6128595505352
23,Test 1,3,BASE,TREND,var|Unit|wk,-2.5137482988150204
24,Test 1,3,INC,DISPLAY,var|Unit|display,0.0
25,Test 1,3,INC,FEATURE,var|Unit|feature,0.0
26,Test 1,3,BASE,UNEXPLAINED,resid,-75.57915486975593
27,Test 1,3,BASE,REFERENCE,small_base,4946.072130797461
28,Test 1,4,BASE,PRICE,var|Log|price,1815.2725087651247
29,Test 1,4,BASE,DISTRIBUTION,var|Log|nupcs,3989.06954870088
30,Test 1,4,BASE,TREND,var|Unit|wk,-4.896663601364554
31,Test 1,4,INC,DISPLAY,var|Unit|display,0.0
32,Test 1,4,INC,FEATURE,var|Unit|feature,0.0
33,Test 1,4,BASE,UNEXPLAINED,resid,-56.057763662106055
34,Test 1,4,BASE,REFERENCE,small_base,4946.072130797461
35,Test 1,5,BASE,PRICE,var|Log|price,9406.735733586927
36,Test 1,5,BASE,DISTRIBUTION,var|Log|nupcs,-4409.683143486697
37,Test 1,5,BASE,TREND,var|Unit|wk,-8.643418887159154
38,Test 1,5,INC,DISPLAY,var|Unit|display,0.0
39,Test 1,5,INC,FEATURE,var|Unit|feature,1639.0049444796473
40,Test 1,5,BASE,UNEXPLAINED,resid,-180.98265549018205
41,Test 1,5,BASE,REFERENCE,small_base,4946.072130797458
42,Test 1,6,BASE,PRICE,var|Log|price,-317.87453856401504
43,Test 1,6,BASE,DISTRIBUTION,var|Log|nupcs,-1341.7482278146397
44,Test 1,6,BASE,TREND,var|Unit|wk,-3.068147285206896
45,Test 1,6,INC,DISPLAY,var|Unit|display,0.0
46,Test 1,6,INC,FEATURE,var|Unit|feature,0.0
